player_name,team_id,home_team_id,team_name,matchday,match_name,match_date,home_team_score,away_team_score,start_frame,end_frame,start_x,start_y,end_x,end_y,outcome,long_ball,is_a_cross,free_kick,corner_kick,throw_in,aerial,switch_of_play,assist,second_assist
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,37575,37575,66.3,24.9,75.8,5.6,1,0,0,0,0,0,0,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,10075,10075,45.6,26.2,36.4,36.9,1,0,0,0,0,0,0,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,71325,71325,22.8,15.6,32.0,11.6,1,0,0,0,0,0,0,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,64000,64000,36.9,44.8,41.8,38.3,1,0,0,0,0,0,0,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,59700,59700,37.7,12.2,26.5,8.5,1,0,0,0,0,0,0,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,24750,24750,46.7,74.1,32.5,86.3,1,0,0,0,0,0,0,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,102100,102100,60.3,86.3,67.5,98.6,1,0,0,0,0,0,0,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,37225,37225,44.7,13.7,59.0,15.5,1,0,0,0,0,0,0,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,63750,63750,35.4,85.6,41.2,81.8,1,0,0,0,0,0,0,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,64075,64075,40.7,35.7,48.0,37.3,1,0,0,0,0,0,0,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,74925,74925,40.2,49.9,60.7,34.0,1,0,0,0,0,0,0,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,15975,15975,75.6,37.6,97.1,79.3,1,1,0,0,0,0,1,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,5250,5250,64.0,77.8,75.4,83.5,1,0,0,0,0,0,0,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,25300,25300,56.1,32.1,46.4,28.0,1,0,0,0,0,0,0,0,0,0
